frame,timestamp_ms,left_horizontal,left_vertical,right_horizontal,right_vertical
1,0,-2.6501917184895127,-9.486614965340266,-58.86641706913384,-10.205336806856568
2,4.353680329352153,-2.4828378072417445,-9.055290864124537,-58.722714667483565,-9.744341758965353
3,8.707360658704307,-2.4845902315384367,-9.0035523793143,-58.731274344393626,-9.590232452626429
4,13.06104098805646,-2.470278630620522,-8.953158186319511,-58.739646796804486,-9.374734421588569
5,17.414721317408613,-2.5414284207824296,-8.926924097540379,-58.752818954381496,-9.221927528207141
6,21.768401646760765,-2.48732249669851,-8.847527479861855,-58.7547923936835,-9.085417052299404
7,26.122081976112916,-2.4098819944891967,-8.744196757179706,-58.75679354217075,-8.892037724291454
8,30.475762305465068,-2.37319854264072,-8.690632290390969,-58.75693066827607,-8.807398418098526
9,34.82944263481722,-2.534183782546158,-8.662671683969108,-58.78990598247992,-8.722441631410291
10,39.18312296416937,-2.483874187763973,-8.60550760947314,-58.786139239089074,-8.59947033587156
11,43.53680329352152,-2.4294526055307877,-8.564440513220735,-58.78243506921468,-8.526843958783074
12,47.890483622873674,-2.467527451396043,-8.535263211412092,-58.79330447532996,-8.464598934915351
13,52.244163952225826,-2.642515037799901,-8.516930756975977,-58.828674127833224,-8.412597742877304
14,56.59784428157798,-2.6353092327261733,-8.493852672520163,-58.82752850444362,-8.358972802709747
15,60.95152461093013,-2.628875744104419,-8.460904964741975,-58.826645842280556,-8.288490666806148
16,65.30520494028228,-2.658019008979986,-8.427508262412422,-58.83157957469522,-8.204634974456997
17,69.65888526963444,-2.697229314073915,-8.412991868302482,-58.839752165903015,-8.176192903777475
18,74.0125655989866,-2.6923411139311035,-8.3983430013186,-58.84202150569039,-8.15353498632623
19,78.36624592833876,-2.6890069433521893,-8.381114387401986,-58.844204643315436,-8.116204664228537
20,82.71992625769091,-2.6887526414580147,-8.365313305995395,-58.84599845091447,-8.078916752677065
21,87.07360658704307,-2.7351185909031837,-8.354570466700503,-58.85822676107728,-8.055885926735664
22,91.42728691639523,-2.7122986622923624,-8.322535555905263,-58.859085095331224,-8.015657953096023
23,95.78096724574739,-2.738593774343839,-8.295983678060859,-58.866914167987574,-7.9669130420387075
24,100.13464757509955,-2.744866005592075,-8.284283938841684,-58.87280004478484,-7.937153516642529
25,104.48832790445171,-2.793073333864279,-8.271022297758881,-58.886854469358006,-7.8978735649161145
26,108.84200823380387,-2.8122365112592336,-8.261391847798393,-58.89186178096611,-7.8696683856717735
27,113.19568856315603,-2.895426537240654,-8.23826698899226,-58.915276333724286,-7.82708167037065
28,117.54936889250818,-2.913183471487792,-8.211342107041139,-58.92288131015638,-7.766677939644658
29,121.90304922186034,-2.9297724236895153,-8.183706608687098,-58.92529820126099,-7.6990222778584085
30,126.2567295512125,-2.9402697190946867,-8.139129923950192,-58.926729062655916,-7.6098967585435275
31,130.61040988056465,-2.9905692516494202,-8.11635268363057,-58.941506013900586,-7.5813891919549485
32,134.9640902099168,-2.9999546002120434,-8.09655000901834,-58.9473188173212,-7.557330418154111
33,139.31777053926896,-3.0102528815077774,-8.050275878367577,-58.952145422004286,-7.47156115483717
34,143.67145086862112,-3.0174257924378636,-8.015098489515855,-58.95316732370336,-7.411882145654077
35,148.02513119797328,-3.0221888542294604,-7.9761790913444734,-58.95635064894229,-7.37271982779711
36,152.37881152732544,-3.0334280081042095,-7.948379685489608,-58.96217099914668,-7.332543611455504
37,156.7324918566776,-3.0346234487612547,-7.9111762479779895,-58.96222620651519,-7.2684513523360454
38,161.08617218602976,-3.037259056613864,-7.87057404075368,-58.96098399795907,-7.229511565114479
39,165.43985251538192,-3.0306135350186048,-7.8412782114770385,-58.95722169311192,-7.187707400855439
40,169.79353284473407,-3.0344916680310985,-7.806954522413827,-58.961691691380345,-7.156022942655597
41,174.14721317408623,-3.005762704145074,-7.734072135190156,-58.95731456842447,-7.073536865967377
42,178.5008935034384,-3.081921231484588,-7.69139194395041,-58.981402573460045,-7.020265449515686
43,182.85457383279055,-3.077902259058236,-7.689842771356617,-58.979482387177185,-7.026860992098118
44,187.2082541621427,-3.0488838161502843,-7.674548205405399,-58.971297888243235,-7.023009482437879
45,191.56193449149487,-3.020372118198168,-7.613474363894751,-58.96081083450668,-6.956432782339811
46,195.91561482084703,-3.1025991638809143,-7.584604520219947,-58.982921524812305,-6.89825570555122
47,200.26929515019918,-3.0882649341328636,-7.589567573613484,-58.977246078035506,-6.938210581011141
48,204.62297547955134,-3.0484884843199307,-7.556027638946172,-58.96896519606538,-6.8642986832241055
49,208.9766558089035,-3.0378708923114743,-7.533334934107604,-58.95934263969698,-6.858922674648864
50,213.33033613825566,-3.0716431432807205,-7.491076635760166,-58.96864411263683,-6.800159144993629
51,217.68401646760782,-3.0619201908853,-7.508132691443496,-58.96700097490149,-6.8584098797975095
52,222.03769679695998,-3.081601220740449,-7.484280233627779,-58.97555110329757,-6.854522528087912
53,226.39137712631214,-3.072311413279118,-7.453825794725556,-58.97038993161502,-6.822925107692687
54,230.7450574556643,-3.0505027910902016,-7.453363831251541,-58.961305224105395,-6.821551931389841
55,235.09873778501645,-3.0570821797467658,-7.447803694432198,-58.964740463819986,-6.837715205907106
56,239.4524181143686,-3.0361389248478896,-7.44386036649066,-58.958348713781724,-6.829823958586928
57,243.80609844372077,-3.0228948380929177,-7.428333854951639,-58.95102301793012,-6.820691624152126
58,248.15977877307293,-3.0022703184224135,-7.418944815510121,-58.948273195926305,-6.828235751544522
59,252.5134591024251,-2.999380375885609,-7.4514004756151255,-58.948908581873944,-6.892351204662598
60,256.8671394317772,-3.0524606147364923,-7.47260048479809,-58.97108971456894,-6.904573523838986
61,261.22081976112935,-3.0456458516533083,-7.470307353382708,-58.96567882516325,-6.8554819654687496
62,265.5745000904815,-3.047773121221735,-7.45790093028742,-58.96737477114312,-6.853215701993699
63,269.9281804198336,-3.0474436773697944,-7.49868109651378,-58.968656655070525,-6.915802946589114
64,274.28186074918574,-3.02199117858308,-7.505493543967117,-58.966960835225755,-6.899760750862809
65,278.63554107853787,-3.009772801417373,-7.486721684025619,-58.96247714687113,-6.867722723844764
66,282.98922140789,-3.0186024420223196,-7.490185857258391,-58.967143971736576,-6.8408583974686366
67,287.34290173724213,-3.0171339829466457,-7.522334053368869,-58.96776110236368,-6.915769871016987
68,291.69658206659426,-3.0058756650352447,-7.508924429438487,-58.96978794504795,-6.893955523385565
69,296.0502623959464,-2.980317669332151,-7.491719973524181,-58.961837241744504,-6.904126982012387
70,300.4039427252985,-2.9804212216246784,-7.481822259331051,-58.965746565850075,-6.902274651362709
71,304.75762305465065,-2.9794515948498197,-7.508693506154532,-58.96860146829398,-6.957077643795175
72,309.1113033840028,-2.9698399594725107,-7.50877597878411,-58.972416465167285,-6.964567827807982
73,313.4649837133549,-2.951199876812145,-7.506169828560834,-58.970204321332396,-6.972239644663519
74,317.81866404270704,-2.952602611908726,-7.495134580618346,-58.974445268067136,-6.966965297548233
75,322.1723443720592,-2.960934220455441,-7.515786037883211,-58.98928412412279,-7.0238194618705725
76,326.5260247014113,-2.942773977447189,-7.501782188635297,-58.9968089539324,-7.0127770504488955
77,330.87970503076343,-2.936795748103042,-7.495480987042439,-59.003244031675116,-7.03848125449094
78,335.23338536011556,-2.9775405778564163,-7.49699857059461,-59.02257234867622,-7.024265775862488
79,339.5870656894677,-2.9768157076068826,-7.541548121043187,-59.03165978221712,-7.09587976977444
80,343.9407460188198,-2.971892213021364,-7.544137354319354,-59.04483615056469,-7.092739995493256
81,348.29442634817195,-2.80752817204911,-7.540228754591214,-59.009063576551085,-7.131191013291677
82,352.6481066775241,-2.8149296642017085,-7.540261738850544,-59.02153455076588,-7.134925061816119
83,357.0017870068762,-2.810711013514842,-7.53696328803781,-59.030092636413116,-7.1452677276010945
84,361.35546733622834,-2.822048567948108,-7.5219876897405715,-59.05291086334482,-7.150818869593543
85,365.7091476655805,-2.844798341314161,-7.54197691340809,-59.08078611768759,-7.172592581108255
86,370.0628279949326,-2.721151729391219,-7.554015736629438,-59.05742345859863,-7.205348344628
87,374.41650832428473,-2.6483738137423978,-7.555714311128857,-59.043200271860925,-7.199782015194583
88,378.77018865363686,-2.5791953101353093,-7.540228754591214,-59.03607801424875,-7.223499904622742
89,383.123868982989,-2.6023686962831425,-7.5957341315038995,-59.0617976472615,-7.310702796174224
90,387.4775493123411,-2.4952365801345695,-7.539189747849305,-59.03843660529156,-7.333286458687282
91,391.83122964169326,-2.4976296294750746,-7.553735388097818,-59.04206130862417,-7.316497506651426
92,396.1849099710454,-2.365820155270586,-7.552482060802,-59.011355811751834,-7.358673834523126
93,400.5385903003975,-2.3688638673786664,-7.6157000329453055,-59.01933871407611,-7.461184081477585
94,404.89227062974965,-2.34521114093172,-7.633042972566926,-59.01634212017509,-7.4874805076337205
95,409.2459509591018,-2.3173734022839043,-7.65328561267956,-59.01038239982837,-7.495992347899315
96,413.5996312884539,-2.304104385219071,-7.681453970162049,-59.00726410812801,-7.524923516305448
97,417.95331161780604,-2.2828621348785636,-7.731897136954621,-59.0038924138676,-7.652906492929088
98,422.30699194715817,-2.2726743018756097,-7.7396907768185335,-59.00506144281349,-7.69130954143774
99,426.6606722765103,-2.2711381036497515,-7.742903715725883,-59.00499135337998,-7.7220928894207095
100,431.0143526058624,-2.2710721318736216,-7.7449962188240455,-59.00543691706103,-7.770763606215917
101,435.36803293521456,-2.2919471851484983,-7.7953088792377265,-59.01192882283996,-7.893642210033521
102,439.7217132645667,-2.2807039473232957,-7.80753102254967,-59.01252183168791,-7.930124503328636
103,444.0753935939188,-2.2541171861528033,-7.8316273039502216,-59.01119316320601,-7.9977214434826385
104,448.42907392327095,-2.2536270984542393,-7.857894509637311,-59.01630459690888,-8.068882215441302
105,452.7827542526231,-2.2923712770052855,-7.950223220508263,-59.036860082949914,-8.205013078641167
106,457.1364345819752,-2.233966770601447,-7.946420911383003,-59.032861913673955,-8.142912175395816
107,461.49011491132734,-2.1910439830463,-7.984868716942818,-59.0313248699168,-8.164075019565846
108,465.84379524067947,-2.241714096158606,-7.98899945099953,-59.055474302673495,-8.187027674602918
109,470.1974755700316,-2.28884659483114,-8.1299206653386,-59.089870209877816,-8.381097962827672
110,474.55115589938373,-2.289892692152672,-8.135446271285776,-59.10885253176561,-8.378716384868545
111,478.90483622873586,-2.361947177205941,-8.11146798578617,-59.15244587679576,-8.339342217699127
112,483.258516558088,-2.3009755752267878,-8.150624458006732,-59.183090740772116,-8.420759259866685
113,487.6121968874401,-2.4436237485871897,-8.11233967457658,-59.24737786371451,-8.361781703966766
114,491.96587721679225,-2.5253092257515593,-8.08597353009487,-59.292788154264734,-8.330060124532926
115,496.3195575461444,-2.5088127797663917,-8.18184876053314,-59.33375639478163,-8.525235560314874
116,500.6732378754965,-2.467857216629928,-8.075857094164414,-59.36874105649536,-8.476074416624627
117,505.02691820484864,-2.7809347615818076,-7.854732739625376,-59.50927399619391,-8.1493089510833
118,509.3805985342008,-2.9128821920048993,-7.680448610254682,-59.56576154592839,-7.781356314837032
119,513.734278863553,-2.9707060490566777,-7.713046213720948,-59.60459325355061,-7.768506614751954
120,518.0879591929051,-3.0645274277969023,-7.6475822617578215,-59.65458338017904,-7.421205482036035
121,522.4416395222573,-2.983866677696581,-7.668911352849105,-59.59697962136625,-7.2701521309122645
122,526.7953198516095,-3.1008862297256643,-7.763168815799821,-59.56955165049388,-7.367091634216776
123,531.1490001809617,-3.08988378973906,-7.801370624515406,-59.562510821110955,-7.577464777499209
124,535.5026805103139,-3.322325263569612,-7.9457131144603625,-59.6418984725026,-7.893856249521183
125,539.8563608396661,-3.010375254796492,-8.013420089545033,-59.583217996990584,-8.044122743427032
126,544.2100411690183,-2.9260536036185973,-8.223572177116496,-59.688996114280286,-8.216964087727387
127,548.5637214983705,-3.076998691995171,-8.407490461732595,-59.70657951946253,-8.426736490591402
128,552.9174018277226,-3.1042367990362965,-8.602817109143317,-59.580488519664996,-8.472134414242577
129,557.2710821570748,-4.063070012899793,-8.603161626563793,-59.7663860403337,-8.343547764377785
130,561.624762486427,-4.0505409255835625,-7.950799321804084,-59.68606254838978,-7.541284248396299
131,565.9784428157792,-3.906936187756045,-7.66765869866186,-59.57856697299511,-6.989004335131962
132,570.3321231451314,-3.6317748506568854,-7.624239792920502,-59.49681219876456,-6.928569771267878
133,574.6858034744836,-2.604808446441778,-7.616244081863674,-59.148834503927525,-7.087435332201765
134,579.0394838038358,-1.389079264342652,-7.729244267848401,-58.81265381846846,-7.10810795587003
135,583.393164133188,-1.1648739415334703,-7.825764076882851,-58.84761524503366,-7.274362740891806
136,587.7468444625401,-0.6877944438828104,-8.05874847215592,-58.80959582972627,-7.467997700289766
137,592.1005247918923,-0.2751930648842418,-8.197154939462825,-58.709247232369464,-7.871578489942735
138,596.4542051212445,-0.22376839518224664,-8.206459731484783,-58.718714468655406,-7.694720978689106
139,600.8078854505967,-0.10781627385165475,-8.261013851263916,-58.705727845109664,-8.079673435263228
140,605.1615657799489,-0.09798048963395234,-7.526539853294388,-58.66471357189823,-6.647525520922731
141,609.5152461093011,-0.3683188601956302,-7.527265551696805,-58.747702715848845,-6.413890463957462
142,613.8689264386533,-0.8635419044478388,-7.707064319442923,-58.933587503362915,-6.216827559315242
143,618.2226067680054,-1.6826111344842014,-7.935721395254197,-59.2033532505293,-6.581275219098174
