frame,timestamp_ms,left_horizontal,left_vertical,right_horizontal,right_vertical
1,0,-4.439466439524518,-6.553588336526823,-78.51030622331463,-8.61816884175429
2,4.353680329352153,-4.444016853415379,-6.146839092809187,-78.39595529920457,-8.0673946368885
3,8.707360658704307,-4.530682346943171,-6.09500936529577,-78.380902122815,-7.882165118619453
4,13.06104098805646,-4.636392632352775,-6.045976430606241,-78.36526121277039,-7.5984992246660985
5,17.414721317408613,-4.832754569679563,-6.02567621775663,-78.35166111751786,-7.384306682301972
6,21.768401646760765,-4.834318176416091,-5.95107215584556,-78.33363849754743,-7.219533820379006
7,26.122081976112916,-4.810154193217354,-5.847781257435108,-78.31426730253575,-6.976082596561997
8,30.475762305465068,-4.817554482035978,-5.795151784078686,-78.30347337755732,-6.864655367734134
9,34.82944263481722,-5.181837248611595,-5.774380009485281,-78.30163846283786,-6.743775944758125
10,39.18312296416937,-5.165400107666421,-5.719271252701704,-78.28316141396189,-6.581098735741912
11,43.53680329352152,-5.119244425825759,-5.679473947341968,-78.27403662112508,-6.475744276433639
12,47.890483622873674,-5.248539622691801,-5.651639760293857,-78.26947307171854,-6.375072526005833
13,52.244163952225826,-5.610527310289142,-5.638347310993382,-78.26881475211015,-6.304457105866423
14,56.59784428157798,-5.632526005645347,-5.617001954673283,-78.25801349854045,-6.2266598148693815
15,60.95152461093013,-5.651331483930151,-5.585425370688208,-78.2499058563899,-6.122023937764557
16,65.30520494028228,-5.735986285037792,-5.5523216214147695,-78.2448243178029,-6.001458386534414
17,69.65888526963444,-5.814725879613222,-5.539695868316818,-78.24164862900982,-5.954867249802911
18,74.0125655989866,-5.806624543895227,-5.528121787161502,-78.23758504096769,-5.91312100471639
19,78.36624592833876,-5.823624393361791,-5.512356362538034,-78.23386384484385,-5.848023598196899
20,82.71992625769091,-5.842072959101405,-5.497950858101029,-78.2302031204381,-5.780237818850456
21,87.07360658704307,-5.9296235777049455,-5.4906934127987315,-78.23132172978748,-5.735536299280007
22,91.42728691639523,-5.895237159743074,-5.461063061202842,-78.22789914920556,-5.678105999918853
23,95.78096724574739,-5.958118663205205,-5.4359303066932805,-78.22846117540352,-5.602196311510151
24,100.13464757509955,-5.961071259053394,-5.428344701712773,-78.22990071293505,-5.54163139032427
25,104.48832790445171,-6.048529694844497,-5.420014834273461,-78.23485297834458,-5.470566359241312
26,108.84200823380387,-6.092130647435241,-5.414279977131014,-78.23655509298581,-5.4212909761909
27,113.19568856315603,-6.2329340919247525,-5.398290766389697,-78.24557924309119,-5.350433694582808
28,117.54936889250818,-6.258881947621925,-5.379723349005104,-78.24906747031922,-5.2484098039040745
29,121.90304922186034,-6.287323915590426,-5.358577256152148,-78.25060579369918,-5.142353857252201
30,126.2567295512125,-6.302195004606931,-5.32032906264591,-78.25201530025534,-5.00384705182119
31,130.61040988056465,-6.384459001063751,-5.30716709721999,-78.25800527469559,-4.954183021912392
32,134.9640902099168,-6.390879115762082,-5.293514368532577,-78.26101608739214,-4.904412965763154
33,139.31777053926896,-6.4097406607670395,-5.258254137864436,-78.26358007927368,-4.764406229843616
34,143.67145086862112,-6.4182034895462685,-5.22618601047422,-78.26465301212794,-4.668413062412416
35,148.02513119797328,-6.4137551145837,-5.1937150481212795,-78.266620922075,-4.61688500712385
